0,1,2,3,4,5,6,7,8,9,10,11,data_bollettino,data_aggiornamento
"Pertusillo
dal 01/04 al 30/09
dal 01/10 al 31/03","531,00",155.000.000,"516,87",68.880.000,55.880.000,"513,84","4,00",56.760.000,43.760.000,"0,00","0,00",2025-12-29,2025-12-29 10:26
,"527,00 *",123.429.000,,,,,,,,,,2025-12-29,2025-12-29 10:26
,"525,50 *",113.438.000,,,,,,,,,,2025-12-29,2025-12-29 10:26
Camastra,"531,60",18.418.128 ***,"516,30",----------,2.234.538,"524,50","1,00",----------,9.271.926,"0,00","0,00",2025-12-29,2025-12-29 10:26
,"526,60 *",11.676.725 ***,,,,,,,,,,2025-12-29,2025-12-29 10:26
Basentello,"269,00",33.039.968,"257,19",6.135.542,564.167,"257,57","0,00",6.568.476,997.101,"0,00","0,00",2025-12-29,2025-12-29 10:26
,"267,50 *",28.001.468,,,,,,,,,,2025-12-29,2025-12-29 10:26
Conza,"434,80",61.813.380,"421,21",15.128.735,11.204.335,"422,27","1,00",17.729.445,13.805.045,"0,00","0,00",2025-12-29,2025-12-29 10:26
,"431,30 *",45.495.770,,,,,,,,,,2025-12-29,2025-12-29 10:26
Saetta,"951,24",3.480.000,"946,22",1.129.200,5 06.200,"946,04","1,00",1.064.400,441.400,"0,00","0,00",2025-12-29,2025-12-29 10:26
,"949,00*",2.250.000,,,,,,,,,,2025-12-29,2025-12-29 10:26
S.Giuliano,"101,00",94.081.021,"91,94",15.642.492,11.642.492,"93,57","-1,00",23.037.372,19.037.372,"0,00","0,00",2025-12-29,2025-12-29 10:26
Gannano,"99,00",2.762.000,"99,00",2.762.000,2.621.000,"98,40","-5,00",2.380.000,2.239.000,"0,00","0,00",2025-12-29,2025-12-29 10:26
Acerenza,"432,00 **",8.887.800,"427,01",5.135.824,1.773.624,"430,08","0,00",7.308.792,3.946.592,"0,00","0,00",2025-12-29,2025-12-29 10:26
Genzano,"402,00 **",3.100.000,"400,45",2.462.000,1.012.000,"401,28","1,00",2.776.000,1.326.000,"0,00","0,00",2025-12-29,2025-12-29 10:26
DESCRIZIONE INVASI,,,30-dicembre-2024,,,30-dicembre-2025,,,,,,2025-12-30,2025-12-30 10:26
DIGA,Quota max regolazione,,"Quota
slm","Lordo
mc.","Netto
mc.","Quota
slm","Var.ne giorno
prec: +/- cm","Lordo
mc.","Netto
mc.","Pioggia
mm","Neve
cm.",2025-12-30,2025-12-30 10:26
,slm,mc.lordi,,,,,,,,,,2025-12-30,2025-12-30 10:26
M.Cotugno,"252,00",480.700.000,"220,15",80.120.000,65.120.000,"216,58","-2,00",57.806.000,42.806.000,"0,00","0,00",2025-12-30,2025-12-30 10:26
,"240,00*",285.700.000,,,,,,,,,,2025-12-30,2025-12-30 10:26
"Pertusillo
dal 01/04 al 30/09
dal 01/10 al 31/03","531,00",155.000.000,"516,91",69.045.000,56.045.000,"513,87","3,00",56.880.000,43.880.000,"0,00","0,00",2025-12-30,2025-12-30 10:26
,"527,00 *",123.429.000,,,,,,,,,,2025-12-30,2025-12-30 10:26
,"525,50 *",113.438.000,,,,,,,,,,2025-12-30,2025-12-30 10:26
Camastra,"531,60",18.418.128 ***,"516,40",----------,2.298.616,"524,49","-1,00",----------,9.261.225,"0,00","0,00",2025-12-30,2025-12-30 10:26
,"526,60 *",11.676.725 ***,,,,,,,,,,2025-12-30,2025-12-30 10:26
Basentello,"269,00",33.039.968,"257,20",6.146.935,575.560,"257,57","0,00",6.568.476,997.101,"0,00","0,00",2025-12-30,2025-12-30 10:26
,"267,50 *",28.001.468,,,,,,,,,,2025-12-30,2025-12-30 10:26
Conza,"434,80",61.813.380,"421,23",15.177.805,11.253.405,"422,28","1,00",17.753.980,13.829.580,"0,00","0,00",2025-12-30,2025-12-30 10:26
,"431,30 *",45.495.770,,,,,,,,,,2025-12-30,2025-12-30 10:26
Saetta,"951,24",3.480.000,"946,27",1.147.200,5 24.200,"946,05","1,00",1.068.000,445.000,"0,00","0,00",2025-12-30,2025-12-30 10:26
,"949,00*",2.250.000,,,,,,,,,,2025-12-30,2025-12-30 10:26
S.Giuliano,"101,00",94.081.021,"91,93",15.602.221,11.602.221,"93,57","0,00",23.037.372,19.037.372,"0,00","0,00",2025-12-30,2025-12-30 10:26
Gannano,"99,00",2.762.000,"99,00",2.762.000,2.621.000,"98,40","0,00",2.380.000,2.239.000,"0,00","0,00",2025-12-30,2025-12-30 10:26
Acerenza,"432,00 **",8.887.800,"427,13",5.212.912,1.850.712,"430,08","0,00",7.308.792,3.946.592,"0,00","0,00",2025-12-30,2025-12-30 10:26
Genzano,"402,00 **",3.100.000,"400,46",2.465.000,1.015.000,"401,28","0,00",2.776.000,1.326.000,"0,00","0,00",2025-12-30,2025-12-30 10:26
DESCRIZIONE INVASI,,,31-dicembre-2024,,,31-dicembre-2025,,,,,,2025-12-31,2025-12-31 10:24
DIGA,Quota max regolazione,,"Quota
slm","Lordo
mc.","Netto
mc.","Quota
slm","Var.ne giorno
prec: +/- cm","Lordo
mc.","Netto
mc.","Pioggia
mm","Neve
cm.",2025-12-31,2025-12-31 10:24
,slm,mc.lordi,,,,,,,,,,2025-12-31,2025-12-31 10:24
M.Cotugno,"252,00",480.700.000,"220,20",80.460.000,65.460.000,"216,56","-2,00",57.692.000,42.692.000,"0,00","0,00",2025-12-31,2025-12-31 10:24
,"240,00*",285.700.000,,,,,,,,,,2025-12-31,2025-12-31 10:24
"Pertusillo
dal 01/04 al 30/09
dal 01/10 al 31/03","531,00",155.000.000,"516,92",69.091.000,56.091.000,"513,90","3,00",57.000.000,44.000.000,"0,00","0,00",2025-12-31,2025-12-31 10:24
,"527,00 *",123.429.000,,,,,,,,,,2025-12-31,2025-12-31 10:24
,"525,50 *",113.438.000,,,,,,,,,,2025-12-31,2025-12-31 10:24
